identificador,nro_apto,nro_torre,dimension,indice_copropiedad,identificador_propietario
1,251,10,84,12.6,290-47-2913
2,31,10,97,14.55,694-48-6504
3,130,3,100,15,151-74-4436
4,87,5,93,13.95,831-75-5271
5,236,10,74,11.1,637-25-7617
6,118,3,70,10.5,219-45-0126
7,246,9,66,9.9,420-13-1126
8,71,6,64,9.6,600-24-5266
9,86,9,94,14.1,848-80-6035
10,61,8,71,10.65,273-25-1604
11,216,2,90,13.5,764-57-3636
12,23,5,53,7.95,656-38-5433
13,256,1,73,10.95,582-75-4860
14,33,3,87,13.05,168-37-4174
15,225,10,85,12.75,203-44-2847
16,166,3,57,8.55,290-47-2913
17,53,5,100,15,584-55-3075
18,56,3,90,13.5,217-83-3949
19,2,8,61,9.15,703-56-2097
20,215,8,87,13.05,626-94-2600
21,34,6,66,9.9,153-79-9383
22,280,7,88,13.2,182-47-9307
23,258,6,94,14.1,769-01-2384
24,72,7,82,12.3,263-45-3193
25,69,10,64,9.6,420-14-5806
26,277,8,77,11.55,724-10-6262
27,248,6,74,11.1,131-03-2470
28,67,1,80,12,307-51-0823
29,152,4,88,13.2,530-21-7734
30,90,7,77,11.55,604-05-1402
31,107,7,55,8.25,329-52-2432
32,221,5,88,13.2,375-99-6362
33,44,7,86,12.9,116-45-5672
34,18,8,79,11.85,596-10-0085
35,94,5,56,8.4,299-53-0949
36,214,8,97,14.55,328-90-6619
37,156,2,72,10.8,523-45-0993
38,4,8,59,8.85,736-29-0330
39,99,2,66,9.9,126-32-2379
40,239,3,51,7.65,494-27-0203
41,204,9,59,8.85,421-34-8377
42,54,8,98,14.7,650-37-3768
43,155,9,67,10.05,421-11-6437
44,133,5,90,13.5,590-85-2605
45,218,4,57,8.55,502-42-0234
46,228,2,56,8.4,898-47-3006
47,125,1,76,11.4,250-05-5014
48,193,10,63,9.45,503-18-3556
49,188,7,91,13.65,323-19-5528
50,8,9,90,13.5,728-55-2628
51,209,6,84,12.6,485-79-0920
52,111,5,91,13.65,640-81-5351
53,286,3,76,11.4,292-05-7986
54,180,7,52,7.8,588-09-0249
55,182,4,51,7.65,537-91-1415
56,79,7,84,12.6,838-51-8500
57,65,4,92,13.8,731-99-0301
58,106,1,70,10.5,415-87-2917
59,242,10,55,8.25,857-47-6366
60,74,6,78,11.7,306-26-2449
61,91,4,52,7.8,630-93-4109
62,172,1,99,14.85,209-86-2765
63,175,4,73,10.95,254-91-9829
64,6,6,50,7.5,463-59-5707
65,115,8,58,8.7,144-28-2119
66,290,7,62,9.3,620-07-8789
67,184,4,52,7.8,773-13-6304
68,274,9,65,9.75,703-99-0477
69,131,1,61,9.15,384-61-5280
70,179,10,60,9,751-22-0627
71,146,8,51,7.65,517-32-0324
72,210,2,98,14.7,522-84-2056
73,237,8,63,9.45,218-66-1649
74,200,5,81,12.15,785-49-6465
75,227,9,97,14.55,305-01-7234
76,255,4,76,11.4,427-52-6201
77,189,9,80,12,605-14-8804
78,103,7,97,14.55,304-46-9211
79,171,6,77,11.55,639-84-8466
80,62,3,95,14.25,802-67-3649
81,80,7,55,8.25,144-57-7959
82,92,8,92,13.8,698-41-6886
83,81,10,100,15,560-37-3234
84,202,9,53,7.95,318-02-0145
85,112,5,77,11.55,117-17-5562
86,113,6,50,7.5,882-75-9965
87,278,3,78,11.7,636-64-7456
88,183,9,55,8.25,550-78-6200
89,266,5,58,8.7,847-92-3214
90,109,7,62,9.3,145-14-5049
91,123,3,72,10.8,473-68-6651
92,211,2,97,14.55,144-97-6985
93,265,4,54,8.1,475-32-7203
94,262,2,63,9.45,706-81-8389
95,9,7,82,12.3,452-35-7308
96,261,1,74,11.1,617-60-1198
97,245,4,61,9.15,548-48-8927
98,287,4,77,11.55,340-76-0400
99,93,4,75,11.25,145-93-1710
100,142,2,78,11.7,197-78-1808
101,47,10,64,9.6,403-39-1830
102,24,8,54,8.1,212-20-8990
103,37,2,76,11.4,231-22-1024
104,40,5,63,9.45,708-98-8737
105,122,7,93,13.95,422-76-6640
106,157,4,92,13.8,187-41-1977
107,233,7,84,12.6,778-73-5830
108,45,7,64,9.6,812-99-7444
109,235,5,79,11.85,129-11-5649
110,267,6,99,14.85,355-94-8172
111,135,8,89,13.35,523-34-1506
112,41,2,86,12.9,867-44-3314
113,243,9,83,12.45,396-66-5595
114,186,9,52,7.8,191-15-0472
115,144,2,77,11.55,156-40-9352
116,275,5,84,12.6,806-80-5419
117,88,4,72,10.8,446-46-2404
118,102,7,53,7.95,191-15-0472
119,98,10,97,14.55,332-75-6430
120,282,6,84,12.6,590-09-7329
121,76,9,53,7.95,674-80-0953
122,97,5,89,13.35,757-32-8895
123,197,9,95,14.25,504-37-0890
124,96,1,74,11.1,275-66-1912
125,46,5,51,7.65,189-62-2979
126,7,8,88,13.2,181-22-3336
127,206,10,68,10.2,868-44-0704
128,238,4,67,10.05,460-41-4824
129,219,8,58,8.7,554-62-7851
130,11,4,99,14.85,756-85-4429
131,134,3,95,14.25,382-92-2403
132,224,2,98,14.7,216-48-6298
133,207,7,63,9.45,732-12-5676
134,145,10,67,10.05,492-75-9782
135,84,1,88,13.2,170-04-5395
136,158,6,62,9.3,877-42-4003
137,21,3,56,8.4,453-82-6658
138,127,1,66,9.9,858-95-1423
139,147,6,52,7.8,396-41-3762
140,17,9,74,11.1,186-93-3641
141,185,9,53,7.95,141-42-8468
142,66,8,68,10.2,788-15-1781
143,288,10,89,13.35,715-66-9795
144,10,1,67,10.05,563-84-9191
145,30,8,68,10.2,463-10-7020
146,170,2,85,12.75,490-96-6513
147,254,4,78,11.7,254-67-5315
148,249,8,50,7.5,432-58-8058
149,241,3,52,7.8,709-78-8968
150,124,9,53,7.95,471-95-0879
151,198,5,81,12.15,394-03-9036
152,126,2,54,8.1,504-18-1133
153,279,7,64,9.6,868-14-6562
154,137,1,63,9.45,161-90-4624
155,35,3,75,11.25,710-96-2975
156,270,4,97,14.55,482-36-9174
157,271,3,50,7.5,613-08-3682
158,143,4,53,7.95,421-20-2595
159,232,1,80,12,575-03-3790
160,229,1,75,11.25,851-44-2743
161,150,4,100,15,777-76-9821
162,148,7,72,10.8,206-75-0371
163,217,6,99,14.85,691-39-5293
164,199,8,90,13.5,174-03-8095
165,73,7,50,7.5,520-50-5045
166,22,4,78,11.7,237-90-9810
167,220,10,55,8.25,581-71-7730
168,230,10,95,14.25,856-62-7209
169,75,6,58,8.7,237-94-1374
170,260,5,76,11.4,198-95-2500
171,55,2,91,13.65,645-37-6700
172,110,9,83,12.45,662-46-9409
173,226,5,99,14.85,737-15-1360
174,165,7,61,9.15,640-08-3961
175,164,10,76,11.4,214-59-3282
176,259,6,58,8.7,725-15-3619
177,50,2,99,14.85,787-96-3581
178,162,2,55,8.25,762-32-9308
179,174,10,62,9.3,770-04-1825
180,194,8,67,10.05,143-69-5649
181,203,7,97,14.55,640-20-4346
182,169,3,77,11.55,468-88-3874
183,1,4,56,8.4,399-36-3362
184,240,7,99,14.85,772-53-9008
185,178,9,93,13.95,693-45-6487
186,27,7,51,7.65,657-50-3820
187,16,3,100,15,165-66-8135
188,257,6,52,7.8,453-82-6658
189,289,2,74,11.1,703-08-8488
190,163,7,58,8.7,675-23-3786
191,128,4,60,9,715-66-9795
192,173,7,59,8.85,254-67-5315
193,154,10,55,8.25,417-97-3602
194,60,6,67,10.05,440-97-6826
195,117,2,58,8.7,776-71-3921
196,3,6,55,8.25,884-18-7136
197,82,9,74,11.1,601-98-9625
198,273,10,86,12.9,285-49-3327
199,29,9,65,9.75,786-51-4748
200,101,8,65,9.75,440-97-6826
201,64,3,81,12.15,593-41-0502
202,85,4,80,12,409-01-4308
203,63,7,93,13.95,200-02-3730
204,116,10,100,15,361-80-4678
205,283,4,91,13.65,361-87-4304
206,160,10,85,12.75,704-79-8657
207,149,4,97,14.55,459-18-9719
208,284,5,74,11.1,807-63-3975
209,205,1,80,12,140-50-8778
210,196,7,68,10.2,393-84-9772
211,51,1,87,13.05,511-83-1887
